4186585,33556,2009-01-06T05:15:07,40.0423,116.61,0,0
4186586,33556,2009-01-06T05:16:07,40.0422,116.61,0,0
4186587,33556,2009-01-06T05:17:07,40.0422,116.61,0,0
4186588,33556,2009-01-06T05:18:07,40.0422,116.61,0,0
4186589,33556,2009-01-06T05:19:07,40.0426,116.609,0,0
4186590,33556,2009-01-06T05:20:07,40.0427,116.606,18.41,291
4186591,33556,2009-01-06T05:21:07,40.0442,116.602,3.44488,297
4186592,33556,2009-01-06T05:22:07,40.0438,116.602,1.14084,159
4186593,33556,2009-01-06T05:23:15,40.0437,116.602,0,0
4186594,33556,2009-01-06T05:24:15,40.0438,116.602,0,324
4186595,33556,2009-01-06T05:25:15,40.0437,116.602,0,0
4186596,33556,2009-01-06T05:26:15,40.0436,116.602,1.14084,135
4186597,33556,2009-01-06T05:27:15,40.0438,116.602,0,0
