AAPL,2024-06-01,125.00,130.00,124.50,126.00,126.50,1000000
AAPL,2024-06-02,130.50,135.00,129.80,131.00,131.50,15000000
AAPL,2024-06-03,135.20,137.50,134.00,136.00,136.50,1200000
AAPL,2024-06-04,137.80,138.50,136.00,137.00,137.50,1100000
AAPL,2024-06-05,136.50,140.00,135.50,138.00,138.50,1400000
AAPL,2024-06-06,140.20,142.00,138.50,141.00,141.50,1300000
AAPL,2024-06-07,141.00,145.00,140.50,143.00,143.50,1600000
AAPL,2024-06-08,145.50,148.00,144.50,5000,147.50,1700000
AAPL,2024-06-09,147.80,150.00,146.50,149.00,149.50,1800000
AAPL,2024-06-10,150.20,152.00,148.50,151.00,151.50,2000000
